1,NULL,,8,77
2,2004-04-06,,1,96
3,2015-03-06,,2,97
4,NULL,,2,82
5,1994-08-29,,4,79
6,NULL,"Traum rupt of collat ligmt of r mid fngr at MCP/IP jt, subs",6,74
7,2009-05-27,"Oth fracture of T9-T10 vertebra, init for opn fx",9,92
8,NULL,Cicatricial lagophthalmos right upper eyelid,5,95
9,NULL,,10,87
10,NULL,,10,80
11,NULL,,1,99
12,2013-07-28,,9,67
13,NULL,,2,89
14,NULL,,1,93
15,NULL,Other adrenocortical overactivity,3,76
16,1996-12-16,,4,66
17,NULL,"Nondisp fx of lateral malleolus of l fibula, 7thP",9,91
18,NULL,,1,73
19,NULL,,3,86
20,NULL,,3,70
21,NULL,,4,83
22,1991-01-04,,3,85
23,1995-12-08,Sprain of sternum,7,90
24,1995-08-20,,7,68
25,NULL,,7,100
26,NULL,Other sexual disorders,8,94
27,2002-12-06,,6,78
28,NULL,,1,75
29,1992-10-18,"Fetus-to-fetus placental transfuse syndrome, third trimester",5,69
30,1999-03-14,"Algoneurodystrophy, thigh",8,98
31,NULL,"Subluxation of oth carpometacarpal joint of right hand, subs",4,72
32,1999-01-28,,6,71
33,NULL,Rheumatoid vasculitis w rheumatoid arthritis of right wrist,9,88
34,NULL,,6,81
35,NULL,"Oth disp fx of upr end unsp humer, subs for fx w delay heal",1,84
