47,8
83,13
30,12
75,2
68,3
8,13
39,7
66,14
88,2
50,4
67,7
2,13
11,10
17,3
63,6
14,6
41,2
92,9
89,9
56,11
36,6
72,5
76,7
5,8
64,1
82,3
70,8
96,6
18,13
37,8
27,2
84,14
94,10
28,5
49,15
95,6
71,4
45,8
57,5
69,15
1,1
40,7
62,11
91,3
25,15
23,13
11,1
97,6
42,13
15,9
46,8
99,6
60,7
34,3
33,3
86,6
9,6
100,7
80,13
35,13
20,15
78,4
61,6
23,5
55,10
3,10
29,2
5,4
77,8
12,1
22,3
6,7
26,14
81,15
73,14
21,13
1,2
97,8
90,15
7,8
93,2
79,5
16,7
87,11
4,5
59,3
13,7
24,4
52,1
98,12
53,4
10,1
74,5
65,6
43,15
51,11
79,10
85,15
38,9
25,7
54,12
32,12
54,13
44,7
31,8
58,14
19,5
48,8
